,subject,rule,init_rev,acc_subj,acc_norm
238,oYoA1,Iota,0,0.75,0.5566499999999998
239,oYoA1,Iota,1,0.75,0.7370624999999998
240,oYoA1,Zeta,0,1.0,0.9184624999999993
241,oYoA1,Zeta,1,1.0,0.8873624999999995
242,oYoA1,Upsilon,0,0.875,0.7345999999999999
243,oYoA1,Upsilon,1,1.0,0.8187000000000001
244,oYoA1,Omega,0,0.75,0.6704374999999995
245,oYoA1,Omega,1,0.25,0.7178
246,m11iV,Zeta,0,1.0,0.9850124999999998
247,m11iV,Zeta,1,1.0,0.9970249999999999
248,m11iV,Upsilon,0,0.75,0.8929750000000001
249,m11iV,Upsilon,1,0.75,0.7812250000000001
250,m11iV,Iota,0,0.625,0.6373125000000001
251,m11iV,Iota,1,0.625,0.62435
252,m11iV,Omega,0,0.375,0.6168624999999999
253,m11iV,Omega,1,1.0,0.6256749999999996
254,28sHU,Zeta,0,0.75,0.945312499999999
255,28sHU,Zeta,1,0.625,0.8454374999999986
256,28sHU,Iota,0,0.625,0.6271624999999984
257,28sHU,Iota,1,0.5,0.6062625000000001
258,eKeCo,Kappa,0,0.875,0.2854374999999998
259,eKeCo,Kappa,1,0.625,0.9242625000000001
260,eKeCo,Zeta,0,0.75,0.8937
261,eKeCo,Zeta,1,1.0,0.9198500000000001
262,mfEzV,Omega,0,0.5,0.6600750000000002
263,mfEzV,Omega,1,0.5,0.5763625
264,mfEzV,Iota,0,0.625,0.7028624999999998
265,mfEzV,Iota,1,1.0,0.9981499999999999
266,mfEzV,Upsilon,0,0.625,0.6670499999999998
267,mfEzV,Upsilon,1,1.0,0.9930125
268,jj8N0,Kappa,0,1.0,0.4914124999999986
269,jj8N0,Kappa,1,1.0,0.8828749999999999
270,jj8N0,Zeta,0,0.25,0.5168124999999983
271,jj8N0,Zeta,1,0.875,0.9904749999999999
272,jj8N0,Iota,0,0.125,0.6245874999999999
273,jj8N0,Iota,1,0.75,0.5790375
274,awKAA,Zeta,0,0.75,0.5292374999999965
275,awKAA,Zeta,1,0.75,0.5196874999999985
276,awKAA,Omega,0,0.5,0.6239874999999999
277,awKAA,Omega,1,0.5,0.9485625
278,2XvsB,Zeta,0,0.625,0.992725
279,2XvsB,Zeta,1,1.0,0.9957374999999999
280,2XvsB,Kappa,0,0.5,0.638325
281,2XvsB,Kappa,1,1.0,0.9688124999999999
282,2XvsB,Upsilon,0,1.0,0.5450875
283,2XvsB,Upsilon,1,1.0,0.86735
284,2XvsB,Iota,0,0.625,0.6246375
285,2XvsB,Iota,1,1.0,0.9391499999999999
286,oGvkb,Kappa,0,0.625,0.4950124999999981
287,oGvkb,Kappa,1,0.375,0.4809249999999972
288,oGvkb,Omega,0,0.375,0.6787249999999991
289,oGvkb,Omega,1,0.375,0.6752875
290,oGvkb,Zeta,0,0.625,0.5141374999999969
291,oGvkb,Zeta,1,0.625,0.5163874999999967
292,oGvkb,Iota,0,0.625,0.499662499999998
293,oGvkb,Iota,1,0.625,0.49404999999999705
294,oGvkb,Upsilon,0,0.625,0.6149249999999999
295,oGvkb,Upsilon,1,0.625,0.8692375
296,VmskZ,Upsilon,0,0.5,0.9950875
297,VmskZ,Upsilon,1,0.625,0.8522500000000001
298,VmskZ,Zeta,0,1.0,0.6291249999999993
299,VmskZ,Zeta,1,1.0,0.9651124999999996
300,oehIW,Iota,0,0.625,0.5671374999999996
301,oehIW,Iota,1,0.875,0.7436875000000001
302,oehIW,Upsilon,0,1.0,0.5094625000000002
303,oehIW,Upsilon,1,1.0,0.961475
304,oehIW,Zeta,0,0.75,0.5322999999999968
305,oehIW,Zeta,1,1.0,0.8376749999999976
306,oehIW,Kappa,0,0.375,0.38267500000000004
307,oehIW,Kappa,1,0.375,0.9754749999999999
308,6djO6,Zeta,0,0.625,0.997025
309,6djO6,Zeta,1,0.625,1.0
310,6djO6,Upsilon,0,0.375,0.5051874999999998
311,6djO6,Upsilon,1,0.625,0.9298249999999999
312,6djO6,Iota,0,0.625,0.6245499999999998
313,6djO6,Iota,1,0.625,0.6243124999999999
314,6djO6,Kappa,0,0.625,0.5037499999999998
315,6djO6,Kappa,1,0.625,0.5003749999999998
316,6djO6,Omega,0,0.625,0.6965874999999998
317,6djO6,Omega,1,0.625,0.9579624999999999
318,v2KgI,Omega,0,0.375,0.5268499999999959
319,v2KgI,Omega,1,0.375,0.5855499999999992
320,v2KgI,Iota,0,0.375,0.513662499999995
321,v2KgI,Iota,1,0.375,0.5148874999999961
322,v2KgI,Upsilon,0,0.625,0.7632000000000001
323,v2KgI,Upsilon,1,0.625,0.9947625
324,RCQCS,Zeta,0,1.0,0.9797
325,RCQCS,Zeta,1,1.0,0.9941499999999999
326,RCQCS,Upsilon,0,0.375,0.9998
327,RCQCS,Upsilon,1,0.375,0.6982875
328,RCQCS,Iota,0,0.875,0.5740749999999998
329,RCQCS,Iota,1,1.0,0.8948125
330,RCQCS,Kappa,0,1.0,0.6528499999999999
331,RCQCS,Kappa,1,1.0,0.9571250000000001
332,yzRdU,Omega,0,0.625,0.506099999999997
333,yzRdU,Omega,1,0.625,0.5075624999999964
334,ckg85,Kappa,0,1.0,0.535275
335,ckg85,Kappa,1,1.0,0.5401749999999996
336,ckg85,Omega,0,0.625,0.6247499999999999
337,ckg85,Omega,1,0.625,0.6391999999999999
338,ckg85,Iota,0,0.75,0.820625
339,ckg85,Iota,1,0.75,0.9896125
340,ckg85,Zeta,0,1.0,0.9784875
341,ckg85,Zeta,1,1.0,0.9891374999999999
342,jqZgS,Omega,0,0.625,0.5245374999999999
343,jqZgS,Omega,1,0.375,0.5124374999999995
344,jqZgS,Upsilon,0,0.625,0.6472875
345,jqZgS,Upsilon,1,0.375,0.990975
346,jqZgS,Iota,0,0.25,0.6010749999999999
347,jqZgS,Iota,1,0.25,0.34737500000000004
348,kCrd3,Omega,0,0.375,0.3729249999999987
349,kCrd3,Omega,1,0.5,0.9829
350,kCrd3,Iota,0,0.625,0.6115624999999983
351,kCrd3,Iota,1,1.0,0.8149375000000001
352,kCrd3,Zeta,0,1.0,0.8992874999999992
353,kCrd3,Zeta,1,1.0,0.9893875000000001
354,kCrd3,Upsilon,0,0.75,0.9354
355,kCrd3,Upsilon,1,1.0,0.9899625000000001
356,6PmID,Zeta,0,1.0,0.8849749999999993
357,6PmID,Zeta,1,1.0,0.9895875000000001
358,6PmID,Kappa,0,1.0,0.8511
359,6PmID,Kappa,1,1.0,0.6627374999999999
360,6PmID,Iota,0,1.0,0.6059375
361,6PmID,Iota,1,1.0,0.6756999999999999
362,6PmID,Omega,0,0.375,0.6588625
363,6PmID,Omega,1,1.0,0.7010750000000001
364,6PmID,Upsilon,0,1.0,0.8477125000000002
365,6PmID,Upsilon,1,1.0,0.9857625000000001
366,Jjfll,Omega,0,0.75,0.5733999999999997
367,Jjfll,Omega,1,0.75,0.7616000000000002
368,Jjfll,Iota,0,0.625,0.4977124999999991
369,Jjfll,Iota,1,0.625,0.7230250000000001
370,Jjfll,Kappa,0,0.375,0.4036000000000001
371,Jjfll,Kappa,1,0.5,0.6620874999999999
372,Jjfll,Zeta,0,1.0,0.5286374999999981
373,Jjfll,Zeta,1,1.0,0.9951124999999998
374,Jjfll,Upsilon,0,0.375,0.9299249999999999
375,Jjfll,Upsilon,1,0.5,0.9921249999999999
376,Ahfce,Kappa,0,0.875,0.6233124999999999
377,Ahfce,Kappa,1,0.625,0.9538874999999997
378,Ahfce,Iota,0,0.5,0.6242000000000001
379,Ahfce,Iota,1,0.5,0.9199625
380,Ahfce,Zeta,0,1.0,0.9894749999999999
381,Ahfce,Zeta,1,1.0,0.9934999999999999
382,6j5zV,Kappa,0,1.0,0.5440624999999986
383,6j5zV,Kappa,1,1.0,0.9423875
384,6j5zV,Zeta,0,1.0,0.9911125
385,6j5zV,Zeta,1,1.0,0.9948875
386,6j5zV,Upsilon,0,1.0,0.9934875
387,6j5zV,Upsilon,1,1.0,0.9943875
388,6j5zV,Iota,0,0.625,0.5952875
389,6j5zV,Iota,1,0.625,0.6238625
390,f1oqs,Iota,0,0.5,0.43216249999999995
391,f1oqs,Iota,1,0.625,0.7141124999999999
392,f1oqs,Omega,0,0.5,0.6116875
393,f1oqs,Omega,1,0.5,0.7756
394,f1oqs,Kappa,0,0.375,0.5869874999999999
395,f1oqs,Kappa,1,0.375,0.9866874999999998
396,fD5gC,Omega,0,0.375,0.5542124999999982
397,fD5gC,Omega,1,0.625,0.99525
398,fD5gC,Zeta,0,0.75,0.5154124999999967
399,fD5gC,Zeta,1,0.75,0.8562124999999996
400,fD5gC,Kappa,0,0.875,0.48741249999999986
401,fD5gC,Kappa,1,0.5,0.8698249999999993
402,i8DCA,Iota,0,0.5,0.6292374999999999
403,i8DCA,Iota,1,0.625,0.625
404,i8DCA,Omega,0,0.625,0.5659375
405,i8DCA,Omega,1,0.625,0.9734374999999998
406,i8DCA,Zeta,0,1.0,0.9893124999999999
407,i8DCA,Zeta,1,1.0,0.9062874999999999
408,i8DCA,Kappa,0,0.625,0.5745500000000001
409,i8DCA,Kappa,1,1.0,0.5942750000000001
410,dh7Xd,Zeta,0,0.375,0.5293999999999971
411,dh7Xd,Zeta,1,0.625,0.5222624999999981
412,dh7Xd,Iota,0,0.75,0.6135124999999999
413,dh7Xd,Iota,1,0.5,0.87915
414,dh7Xd,Upsilon,0,1.0,0.8271249999999999
415,dh7Xd,Upsilon,1,1.0,0.9555125
416,dh7Xd,Kappa,0,1.0,0.7210375
417,dh7Xd,Kappa,1,1.0,0.9582874999999998
418,OA5AW,Upsilon,0,0.25,0.9829
419,OA5AW,Upsilon,1,0.875,0.8653124999999999
420,OA5AW,Zeta,0,1.0,0.8289999999999993
421,OA5AW,Zeta,1,1.0,0.9957000000000001
422,GFtqh,Omega,0,0.625,0.6197749999999999
423,GFtqh,Omega,1,0.75,0.655275
424,GFtqh,Zeta,0,1.0,0.6268124999999977
425,GFtqh,Zeta,1,1.0,0.945112499999999
426,GFtqh,Upsilon,0,0.5,0.7716249999999998
427,GFtqh,Upsilon,1,0.75,0.9115500000000001
428,GFtqh,Iota,0,0.25,0.6429624999999997
429,GFtqh,Iota,1,0.625,0.61925
430,GFtqh,Kappa,0,1.0,0.5232249999999996
431,GFtqh,Kappa,1,1.0,0.9849
432,TSQ2l,Zeta,0,1.0,0.99645
433,TSQ2l,Zeta,1,1.0,0.9847999999999999
434,TSQ2l,Upsilon,0,1.0,0.8280874999999998
435,TSQ2l,Upsilon,1,1.0,0.7998999999999999
436,TSQ2l,Iota,0,0.625,0.6207499999999999
437,TSQ2l,Iota,1,1.0,0.9665124999999999
438,TSQ2l,Kappa,0,1.0,0.8290500000000001
439,TSQ2l,Kappa,1,1.0,0.9754625000000001
440,c8KKW,Upsilon,0,1.0,0.8005875
441,c8KKW,Upsilon,1,1.0,0.8917875
442,c8KKW,Omega,0,0.625,0.6249999999999999
443,c8KKW,Omega,1,0.75,0.887187499999999
444,c8KKW,Zeta,0,1.0,0.9871749999999999
445,c8KKW,Zeta,1,1.0,0.9936625000000001
446,c8KKW,Iota,0,1.0,0.647
447,c8KKW,Iota,1,1.0,0.9100250000000001
448,c8KKW,Kappa,0,1.0,0.5308749999999997
449,c8KKW,Kappa,1,1.0,0.8678874999999999
450,8QtIO,Zeta,0,1.0,0.899875
451,8QtIO,Zeta,1,1.0,0.9724
452,8QtIO,Omega,0,0.625,0.6672375
453,8QtIO,Omega,1,0.375,0.6251749999999998
454,8QtIO,Kappa,0,1.0,0.7294375
455,8QtIO,Kappa,1,1.0,0.8384999999999999
456,0A5AL,Iota,0,0.625,0.45108749999999986
457,0A5AL,Iota,1,0.625,0.6290749999999999
458,0A5AL,Omega,0,0.5,0.5469874999999998
459,0A5AL,Omega,1,0.5,0.6233374999999995
460,0A5AL,Zeta,0,0.625,0.5236124999999966
461,0A5AL,Zeta,1,0.625,0.5175874999999975
462,0A5AL,Kappa,0,1.0,0.5760749999999999
463,0A5AL,Kappa,1,1.0,0.8008875000000001
464,NKgB0,Kappa,0,1.0,0.4999999999999999
465,NKgB0,Kappa,1,1.0,0.49971249999999984
466,NKgB0,Iota,0,0.5,0.5685374999999999
467,NKgB0,Iota,1,0.625,0.6647500000000001
468,NKgB0,Zeta,0,1.0,0.9945
469,NKgB0,Zeta,1,1.0,0.9731375
470,oEa5W,Omega,0,0.625,0.6894625000000002
471,oEa5W,Omega,1,0.625,0.8540749999999999
472,oEa5W,Zeta,0,1.0,0.9805374999999998
473,oEa5W,Zeta,1,1.0,0.979425
474,oEa5W,Kappa,0,0.625,0.6194125
475,oEa5W,Kappa,1,0.875,0.8450124999999998
476,oEa5W,Iota,0,0.625,0.4733499999999999
477,oEa5W,Iota,1,0.625,0.5692
478,143NC,Kappa,0,1.0,0.5368499999999997
479,143NC,Kappa,1,1.0,0.9775124999999997
480,143NC,Iota,0,1.0,0.8484250000000001
481,143NC,Iota,1,1.0,0.6213500000000001
482,143NC,Upsilon,0,0.75,0.8090875000000001
483,143NC,Upsilon,1,1.0,0.9111
484,143NC,Zeta,0,1.0,0.9205499999999998
485,143NC,Zeta,1,1.0,0.9939500000000001
486,ITONF,Zeta,0,0.75,0.9212999999999988
487,ITONF,Zeta,1,0.625,0.9995124999999999
488,ITONF,Omega,0,0.625,0.8273875
489,ITONF,Omega,1,0.625,0.6005249999999998
490,ynjTM,Upsilon,0,1.0,0.7583374999999999
491,ynjTM,Upsilon,1,1.0,0.985625
492,ynjTM,Zeta,0,0.875,0.519562499999997
493,ynjTM,Zeta,1,1.0,0.9924999999999999
494,NUeKa,Omega,0,0.625,0.9716375
495,NUeKa,Omega,1,0.5,0.9982249999999999
